Name,Parent,Level,Location,Status,CIK
INGERSOLL WERKZEUGE GMBH,BERKSHIRE HATHAWAY INC,1,Germany,"(4, 'Non-US Company')",
INTERNATIONAL DAIRY QUEEN INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(0, 'Success')",51207
ISCAR LTD,BERKSHIRE HATHAWAY INC,1,Israel,"(4, 'Non-US Company')",
JOHNS MANVILLE,BERKSHIRE HATHAWAY INC,1,Delaware,"(2, 'Multiple search results found')",
JOHNS MANVILLE CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(3, 'Return one result, better check what went wrong')",
JOHNS MANVILLE EUROPE GMBH,BERKSHIRE HATHAWAY INC,1,Germany,"(4, 'Non-US Company')",
JOHNS MANVILLE GMBH,BERKSHIRE HATHAWAY INC,1,Germany,"(4, 'Non-US Company')",
JOHNS MANVILLE SLOVAKIA AS,BERKSHIRE HATHAWAY INC,1,Slovakia,"(4, 'Non-US Company')",
JORDANS FURNITURE INC,BERKSHIRE HATHAWAY INC,1,Massachusetts,"(1, 'Company is not in SEC/Name Misspelled')",
JUSTIN BRANDS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
KAHN VENTURES INC,BERKSHIRE HATHAWAY INC,1,Georgia,"(1, 'Company is not in SEC/Name Misspelled')",
KERN RIVER GAS TRANSMISSION CO,BERKSHIRE HATHAWAY INC,1,Texas,"(1, 'Company is not in SEC/Name Misspelled')",
"KR HOLDING, LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
L. A. DARLING CO LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
LARSON-JUHL US LLC,BERKSHIRE HATHAWAY INC,1,Georgia,"(1, 'Company is not in SEC/Name Misspelled')",
LIPOTEC SA,BERKSHIRE HATHAWAY INC,1,Spain,"(4, 'Non-US Company')",
LIQUIDPOWER SPECIALTY PRODUCTS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
LUBRIZOL (GIBRALTAR) LIMITED LUXEMBOURG SCS,BERKSHIRE HATHAWAY INC,1,Luxembourg,"(4, 'Non-US Company')",
LUBRIZOL ADDITIVE (ZHUHAI) CO LTD,BERKSHIRE HATHAWAY INC,1,China,"(4, 'Non-US Company')",
LUBRIZOL ADVANCED MATERIALS EUROPE BVBA,BERKSHIRE HATHAWAY INC,1,Belgium,"(4, 'Non-US Company')",
"LUBRIZOL ADVANCED MATERIALS INTERNATIONAL, LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
LUBRIZOL ADVANCED MATERIALS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
LUBRIZOL FRANCE SAS,BERKSHIRE HATHAWAY INC,1,France,"(4, 'Non-US Company')",
LUBRIZOL GROUP LLP,BERKSHIRE HATHAWAY INC,1,United Kingdom,"(4, 'Non-US Company')",
LUBRIZOL HOLDINGS FRANCE SAS,BERKSHIRE HATHAWAY INC,1,France,"(4, 'Non-US Company')",
LUBRIZOL HOLDINGS NETHERLANDS BV,BERKSHIRE HATHAWAY INC,1,Netherlands,"(4, 'Non-US Company')",
LUBRIZOL INTERNATIONAL INC,BERKSHIRE HATHAWAY INC,1,Cayman Islands,"(4, 'Non-US Company')",
LUBRIZOL LUXEMBOURG SARL,BERKSHIRE HATHAWAY INC,1,Luxembourg,"(4, 'Non-US Company')",
LUBRIZOL OVERSEAS TRADING CORP,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1295275
LUBRIZOL SOUTHEAST ASIA PTE LTD,BERKSHIRE HATHAWAY INC,1,Singapore,"(4, 'Non-US Company')",
M&M MANUFACTURING INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON BEVERAGE TECHNOLOGIES INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON CRANE SERVICES INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON DISTRIBUTION SERVICES INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON ENERGY SERVICES CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON ENGINEERED COMPONENTS CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
"MARMON FOOD, BEVERAGE & WATER TECHNOLOGIES CO LLC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON HIGHWAY TECHNOLOGIES LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON HOLDINGS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1000443
MARMON RETAIL & HIGHWAY TECHNOLOGIES CO LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON RETAIL TECHNOLOGIES CO,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
